,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.13828189,28.46004056,30.23142172,31.70577045,30.8709032,25.49590276,23.71254001,26.90647482,29.21503593,28.77914264,33.5810163,35.16129032,32.51442,33.25193325,30.29286832,28.93199346,28.50569676,26.64756447,23.73862696,23.27272727,21.56525067,21.39762667,20.8005849,,,
16.11570974,16.59919818,19.10570205,14.20118961,13.88889367,11.25827913,8.412698137,5.179282607,6.472491752,6.466876819,5.463794077,5.461171067,6.545961749,7.307692214,8.762886524,9.765258427,13.65217359,12.41534931,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,30.49321898,30.49321894,30.49317313,30.45111061,30.89366873,27.55657979,23.30077092,25.73057936,30.80405318,42.82085881,28.19730976,26.42435369,26.66757886,26.14296935,27.50046187,34.20248913,27.21470844,24.13030458,17.86942115,,
,,,,,,,,,,,,,,,,,,,,35.80583472,36.38611565,39.28290013,37.37334629,32.92553508,33.93195914,32.03483542,29.45386952,29.95754207,32.8770716,30.36094681,7.603111096,5.656684102,13.67613745,18.8965849,21.27851346,18.06378369,16.65949645,19.74258124,19.7347081,30.79625919,34.98868158,35.26404597,33.89688681,34.19676704,36.86966605,35.69751463,34.4619786,35.77843703,34.55783356,30.30866266,31.41361184,28.32854813,28.05253558,25.67468009,25.81902786,25.22385513,25.05253474,24.10102549,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91634085,23.99943507,23.27721985,23.73069034,22.39141882,22.46579175,21.01699555,20.37689927,23.5817019,20.69386978,20.23200107,22.63524728,21.73640677,22.34906803,21.93643833,22.28127403,23.39496261,26.61221489,27.59038884,29.42136191,27.46298215,24.67835391,24.07840556,24.98362263,26.03433192,29.44489742,29.60275622,27.92796177,25.63506324,27.85522659,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50259715,22.54568155,22.12976184,19.97851906,20.16684881,19.27039968,25.19918282,25.09809154,31.63354876,27.12111432,23.16147556,21.88480699,19.25797698,22.16843565,25.63917945,26.01972721,25.29562063,23.51150299,23.83282003,
23.47923426,27.76644706,21.73093502,18.27287883,21.47391262,22.42767575,20.54254663,21.21503579,21.69049729,23.9906052,24.44009525,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.80015957,25.85676946,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.6369774,16.70240577,19.68811042,19.96562325,18.50041051,19.62387245,20.82605155,20.97076915,17.86292788,17.53348744,15.62596533,10.85390524,14.1469621,17.55127036,18.88826414,18.68048724,20.0991132,19.57277588,16.05311236,17.70553381,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.21256717,16.04690306,14.5433443,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14768436,39.77914418,1.631258261,9.872203034,27.94215793,20.80856934,21.09544717,23.26567929,22.68635187,20.76888047,21.9223314,22.90435529,25.41829676,28.34794998,29.1225577,35.76543899,42.22545768,44.35162298,47.94283582,41.1450508,38.81475499,31.92179898,24.68095275,22.15249007,21.28304069,20.73053013,18.01550867,18.42174021,22.39973933,17.44758603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.42261085,21.8038782,24.31575841,25.3058028,25.95678223,27.6304943,28.90648414,28.99784869,20.49692315,22.14814242,23.18068392,23.5173783,26.90079652,36.18401057,37.35417343,37.41359595,37.69044984,28.11551867,20.73824236,22.13058589,23.73107705,25.04237941,24.43842874,24.82739418,24.9524415,25.47035956,,
31.61924283,33.1889674,28.46526292,30.86856905,30.73660399,33.58521525,32.65976672,32.96735686,33.03390818,33.68189323,33.02217036,32.14267996,30.46938225,28.42985507,30.61454739,26.84270437,26.46274359,27.00106168,25.85137106,27.889229,27.1246206,28.71790827,29.87575022,25.33609647,26.66910366,28.06492661,28.54711036,27.41626124,28.027812,29.66974664,29.00237706,24.26915329,22.38979091,23.64630343,24.31595672,26.047027,24.85126014,24.91666532,25.69099995,26.21436093,26.3080439,23.47978771,24.49310775,26.01628046,27.17193995,27.55886731,27.60444788,27.57140898,28.66459472,27.39605363,26.85114098,26.50721223,27.74255764,27.89579166,26.74563505,26.27069662,25.37197856,24.05679621,24.52866015,23.19688838,
,,,,,,,,,,31.03814076,31.03141139,31.99834918,32.24418829,32.52408284,27.15860963,28.51178161,29.70124134,26.52774813,29.34455986,28.78083062,26.92647655,24.58013059,23.04242392,23.77499065,24.44925836,23.73376107,24.05756484,25.60419582,26.47053046,26.68930864,26.8975446,26.20273658,25.24619492,26.08212129,26.76323229,26.33767296,26.21365746,26.1056608,26.11755139,25.92697094,25.16076629,23.64265684,24.40874646,24.06102689,23.82524564,23.61032759,24.5843049,24.46746074,22.77532094,22.60784712,24.14047447,23.97710689,23.72339,23.53154279,23.80552569,24.25632596,24.83573593,25.54337171,25.47124409,
